label,T_true,n_frames,mean_pred,mean_err,mae,rmse,max_abs_err
global,20.0,10,20.186666666666664,0.18666666666666706,0.18666666666666706,0.3412395704551935,0.6666666666666679
global,21.0,10,20.813333333333333,-0.186666666666666,0.186666666666666,0.2649947588580229,0.3999999999999986
global,22.0,10,22.25,0.25,0.25,0.3535533905932738,0.5
global,23.0,10,23.375,0.375,0.875,0.9519716382329886,1.25
global,24.0,10,24.25,0.25,0.25,0.25,0.25
global,25.0,10,25.5,0.5,0.5,0.7071067811865476,1.0
global,26.0,10,25.375,-0.625,1.125,1.286953767623375,1.75
global,27.0,10,26.25,-0.75,0.75,0.7905694150420949,1.0
global,28.0,10,28.0,0.0,0.0,0.0,0.0
global,29.0,10,29.800000000000004,0.8000000000000007,0.8000000000000007,1.1313708498984771,1.6000000000000014
global,30.0,10,30.300000000000004,0.3000000000000007,0.3000000000000007,0.4242640687119295,0.6000000000000014
global,31.0,10,30.600000000000005,-0.3999999999999986,0.3999999999999986,0.3999999999999986,0.3999999999999986
global,32.0,10,31.633333333333336,-0.36666666666666714,1.0333333333333314,1.0964589468932335,1.3999999999999986
global,33.0,10,32.66666666666667,-0.3333333333333357,0.3333333333333357,0.3333333333333357,0.3333333333333357
